rank,name,score,release_date,types,regions
402,芬奇,8.4,2021,"剧情,科幻",美国
403,垫底辣妹,8.3,2016,"剧情,家庭",日本
404,安妮·霍尔,8.6,1977,"喜剧,剧情,爱情",美国
405,嫌疑人X的献身,8.4,2008,"犯罪,剧情,悬疑",日本
406,金刚狼3：殊死一战,8.3,2017,"剧情,动作,科幻",美国
407,导盲犬小Q,8.5,2004,剧情,日本
408,南极大冒险,8.7,2006,"剧情,冒险",美国
409,奇迹,8.8,2011,"剧情,家庭",日本
410,精英部队2：大敌当前,8.7,2011,"剧情,动作,犯罪,惊悚",巴西
411,孟买酒店,8.4,2018,"剧情,历史,惊悚","澳大利亚, 美国, 印度"
412,机器管家,8.6,1999,"剧情,喜剧,科幻","美国, 德国"
413,麻将,8.7,1996,"喜剧,剧情",中国台湾
414,天注定,8.3,2013,"剧情,犯罪","中国大陆, 日本, 法国"
415,僵尸新娘,8.3,2005,"剧情,动画,奇幻","美国, 英国"
416,东方快车谋杀案,8.5,1974,"剧情,犯罪,悬疑",英国
417,少年的你,8.2,2019,"剧情,爱情,犯罪","中国大陆, 中国香港"
418,坏孩子的天空,8.6,1996,"剧情,犯罪,运动",日本
419,兵临城下,8.4,2001,"剧情,历史,战争","爱尔兰, 英国, 法国, 德国, 美国"
420,蓝白红三部曲之蓝,8.5,1993,"剧情,爱情,音乐","法国, 波兰, 瑞士"
421,萨利机长,8.3,2016,"剧情,传记",美国
422,天若有情,8.4,1990,"动作,剧情,爱情",中国香港
423,自梳,8.6,1997,"剧情,爱情,同性",中国香港
424,魔术师,8.7,2010,"剧情,动画","法国, 英国"
425,巴斯特·斯克鲁格斯的歌谣,8.5,2018,"剧情,喜剧,爱情,西部,悬疑,歌舞",美国
426,最佳出价,8.4,2013,"剧情,爱情,悬疑",意大利
427,乔乔的异想世界,8.3,2020,"剧情,喜剧,战争","美国, 捷克, 新西兰"
428,地雷区,8.7,2015,"剧情,历史,战争","丹麦, 德国"
429,暗花,8.4,1998,"剧情,动作,犯罪,悬疑",中国香港
430,野草莓,8.8,1957,"剧情,爱情,家庭",瑞典
431,午夜巴黎,8.3,2011,"剧情,爱情,奇幻","西班牙, 美国, 法国"
432,黄飞鸿,8.3,1991,"剧情,动作,武侠,古装",中国香港
433,思悼,8.5,2015,"剧情,历史",韩国
434,老爷车,8.6,2008,剧情,"美国, 德国"
435,大都会,9.1,1927,"剧情,科幻",德国
436,结婚礼服,8.6,2010,"剧情,家庭",韩国
437,天伦之旅,8.6,2009,"剧情,家庭",美国
438,面纱,8.3,2006,"剧情,爱情","美国, 中国大陆, 加拿大"
439,爱在暹罗,8.3,2007,"剧情,爱情,同性",泰国
440,相爱相亲,8.3,2017,"剧情,爱情,家庭","中国大陆, 中国台湾"
441,老无所依,8.3,2007,"犯罪,剧情,惊悚",美国
442,老男孩,8.3,2003,"剧情,动作,悬疑,惊悚",韩国
443,逃离德黑兰,8.3,2012,"剧情,惊悚,历史",美国
444,狗十三,8.2,2018,"剧情,家庭",中国大陆
445,盗火线,8.5,1995,"剧情,动作,犯罪,惊悚",美国
446,夜访吸血鬼,8.3,1994,"剧情,奇幻,惊悚",美国
447,暴裂无声,8.2,2018,"剧情,犯罪,悬疑",中国大陆
448,曾经,8.3,2007,"剧情,音乐,爱情",爱尔兰
449,百变狸猫,8.6,1994,"动画,喜剧,剧情,奇幻",日本
450,顽主,8.4,1989,"剧情,喜剧",中国大陆
451,春夏秋冬又一春,8.5,2003,剧情,"韩国, 德国"
452,芝加哥七君子审判,8.6,2020,"剧情,历史","美国, 英国, 印度"
453,紫日,8.5,2001,"剧情,战争",中国大陆
454,铁甲钢拳,8.3,2011,"剧情,动作,科幻,运动","美国, 印度"
455,无言的山丘,9.2,1992,"剧情,历史",中国台湾
456,换子疑云,8.4,2008,"剧情,悬疑,惊悚",美国
457,成为简·奥斯汀,8.3,2007,"传记,剧情,爱情","英国, 爱尔兰"
458,阳光小美女,8.3,2006,"剧情,喜剧,家庭",美国
459,天才枪手,8.2,2017,"剧情,犯罪,悬疑",泰国
460,穿普拉达的女王,8.2,2007,"剧情,喜剧","美国, 法国"
461,王牌对王牌,8.5,1998,"动作,犯罪,剧情,悬疑,惊悚","美国, 德国"
462,立春,8.3,2008,剧情,中国大陆
463,那年夏天，宁静的海,8.6,1991,"剧情,喜剧,爱情",日本
464,天才少女,8.3,2017,"剧情,家庭",美国
465,用心棒,9.0,1961,"剧情,动作,惊悚",日本
466,飓风营救,8.3,2008,"动作,犯罪,剧情,惊悚","法国, 美国, 英国"
467,魔鬼代言人,8.4,1997,"剧情,悬疑,惊悚","美国, 德国"
468,天狗,8.8,2006,剧情,中国大陆
469,走出非洲,8.6,1985,"冒险,传记,剧情,爱情",美国
470,无间道3：终极无间,8.2,2003,"剧情,犯罪,惊悚","中国大陆, 中国香港"
471,好家伙,8.5,1990,"剧情,传记,犯罪",美国
472,师父,8.2,2015,"剧情,动作,武侠",中国大陆
473,百元之恋,8.4,2014,"剧情,运动",日本
474,爱,8.6,2012,"剧情,爱情","法国, 德国, 奥地利"
475,为奴十二年,8.3,2013,"剧情,传记,历史","美国, 英国"
476,寂静人生,9.0,2013,剧情,"英国, 意大利"
477,幸福的拉扎罗,8.5,2018,"剧情,奇幻","意大利, 瑞士, 法国, 德国"
478,丹麦女孩,8.3,2015,"剧情,传记,爱情,同性","英国, 美国, 比利时, 丹麦, 德国"
479,茜茜公主,8.5,1955,"喜剧,剧情,历史,爱情",奥地利
480,狗镇,8.4,2003,"剧情,悬疑,惊悚","丹麦, 瑞典, 挪威, 芬兰, 英国, 法国, 德国, 荷兰, 意大利"
481,嘉年华,8.2,2017,剧情,"中国大陆, 法国"
482,生之欲,9.2,1952,剧情,日本
483,少年斯派维的奇异旅行,8.5,2013,"剧情,喜剧,冒险,家庭","法国, 加拿大"
484,弗里达,8.7,2002,"传记,剧情,爱情","美国, 墨西哥, 加拿大"
485,天浴,8.4,1998,剧情,"中国香港, 美国, 中国台湾"
486,伴你高飞,8.9,1996,"冒险,剧情,家庭",美国
487,单身男子,8.5,2009,"剧情,同性",美国
488,梁祝,8.4,1994,"剧情,爱情,奇幻,古装",中国香港
489,集结号,8.2,2007,"剧情,传记,历史,战争","中国大陆, 中国香港"
490,社交网络,8.2,2010,"剧情,传记",美国
491,追梦赤子心,8.8,1993,"传记,剧情,运动",美国
492,我的野蛮女友,8.2,2001,"剧情,喜剧,爱情",韩国
493,X战警：逆转未来,8.2,2014,"剧情,动作,科幻,冒险","美国, 英国"
494,12夜,8.3,2000,"剧情,爱情",中国香港
495,现代启示录,8.5,1979,"剧情,战争",美国
496,人鬼情未了,8.3,1990,"剧情,爱情,奇幻",美国
497,日落大道,8.8,1950,"剧情,黑色电影",美国
498,从海底出击,9.1,1981,"剧情,历史,战争,冒险",西德
499,猩球崛起,8.2,2011,"剧情,动作,科幻",美国
500,苏州河,8.2,2000,"剧情,爱情","中国大陆, 德国"
501,我的1919,8.6,1999,"剧情,传记,历史",中国大陆
502,绿洲,8.7,2002,"剧情,爱情",韩国
503,理智与情感,8.4,1995,"剧情,爱情","美国, 英国"
504,布达佩斯之恋,8.6,1999,"爱情,剧情","德国, 匈牙利"
505,月升王国,8.4,2012,"剧情,儿童",美国
506,独自等待,8.2,2005,"喜剧,爱情,剧情",中国大陆
507,红鳉鱼,9.0,2015,"剧情,传记",日本
508,斗牛,8.2,2009,"剧情,喜剧",中国大陆
509,无主之作,8.6,2018,剧情,"德国, 意大利"
510,东京家族,8.8,2013,"剧情,家庭",日本
511,X战警：第一战,8.2,2011,"动作,剧情,科幻","美国, 英国"
512,冒牌上尉,8.6,2017,"剧情,历史,战争","德国, 波兰, 法国"
513,那些年，我们一起追的女孩,8.1,2012,"剧情,喜剧,爱情",中国台湾
514,美国X档案,8.5,1998,"犯罪,剧情",美国
515,K星异客,8.5,2001,"剧情,科幻","美国, 德国"
516,苦月亮,8.4,1992,"剧情,爱情,惊悚,情色","法国, 英国"
517,爱情神话,8.1,2021,"剧情,喜剧,爱情",中国大陆
518,追风筝的人,8.2,2008,剧情,"美国, 中国大陆, 英国, 阿富汗"
519,一代宗师,8.1,2013,"剧情,传记,动作,爱情","中国大陆, 中国香港"
520,夜行者,8.3,2014,"剧情,犯罪,惊悚",美国
521,西线无战事,8.5,2022,"剧情,动作,战争","德国, 美国, 英国"
522,洗澡,8.4,1999,"剧情,喜剧,家庭",中国大陆
523,站台,8.4,2000,"剧情,历史","中国大陆, 中国香港, 日本, 法国"
524,雾中风景,9.0,1988,剧情,"希腊, 法国, 意大利"
525,天佑鲍比,8.9,2009,"剧情,传记,同性",美国
526,小岛惊魂,8.2,2001,"剧情,悬疑,恐怖","美国, 西班牙, 法国, 意大利"
527,天下无贼,8.1,2004,"动作,犯罪,剧情","中国大陆, 中国香港"
528,薄荷糖,8.6,1999,剧情,"韩国, 日本"
529,利刃出鞘,8.1,2019,"剧情,喜剧,犯罪,悬疑",美国
530,普罗旺斯的夏天,8.4,2014,"剧情,喜剧,家庭",法国
531,编舟记,8.6,2013,剧情,日本
532,云图,8.1,2013,"剧情,科幻,悬疑","德国, 美国, 中国香港, 中国大陆, 新加坡"
533,听说,8.1,2015,"剧情,爱情",中国台湾
534,八月迷情,8.3,2009,"剧情,音乐,爱情",美国
535,黑社会2：以和为贵,8.2,2006,"犯罪,剧情,惊悚",中国香港
536,洛奇,8.7,1976,"剧情,爱情,运动",美国
537,对她说,8.5,2002,"剧情,爱情",西班牙
538,乡愁,9.1,1983,剧情,"苏联, 意大利"
539,黑炮事件,8.7,1986,"剧情,喜剧",中国大陆
540,李米的猜想,8.1,2008,"犯罪,剧情,爱情","中国大陆, 中国香港"
541,我的父亲母亲,8.2,1999,"剧情,爱情",中国大陆
542,起风了,8.2,2013,"剧情,爱情,动画",日本
543,如晴天，似雨天,8.3,2014,"剧情,音乐",美国
544,情人,8.2,1992,"剧情,传记,爱情,情色","法国, 英国, 越南"
545,阿Q正传,8.7,1981,剧情,中国大陆
546,黄飞鸿之二：男儿当自强,8.2,1992,"剧情,动作,爱情,武侠,古装",中国香港
547,一九四二,8.1,2012,"剧情,历史,战争,灾难",中国大陆
548,铁拳男人,8.8,2005,"剧情,家庭,传记,运动",美国
549,巴黎，我爱你,8.3,2006,"剧情,喜剧,爱情","法国, 列支敦士登, 瑞士, 德国, 美国"
550,剃头匠,9.2,2006,"剧情,传记",中国大陆
551,山河故人,8.1,2015,"剧情,家庭","中国大陆, 法国, 日本"
552,战马,8.2,2012,"剧情,战争",美国
553,超时空接触,8.4,1997,"剧情,科幻,悬疑,惊悚",美国
554,卡比利亚之夜,9.1,1957,剧情,"意大利, 法国"
555,大决战之辽沈战役,9.0,1991,"剧情,历史,战争",中国大陆
556,一树梨花压海棠,8.2,1997,"剧情,爱情,情色","法国, 美国"
557,当哈利遇到莎莉,8.3,1989,"喜剧,剧情,爱情",美国
558,昨天,8.6,2001,"传记,剧情,音乐",中国大陆
559,雏菊,8.1,2006,"剧情,爱情","韩国, 中国香港"
560,跛豪,8.3,1991,"传记,犯罪,剧情",中国香港
561,花与爱丽丝,8.2,2004,"剧情,喜剧,爱情",日本
562,痛苦与荣耀,8.5,2019,"剧情,同性","西班牙, 法国"
563,革命之路,8.2,2008,"剧情,爱情","美国, 英国"
564,国际市场,8.5,2014,"剧情,家庭",韩国
565,蓝白红三部曲之白,8.4,1994,"喜剧,剧情,悬疑,爱情","法国, 波兰, 瑞士"
566,孤胆特工,8.2,2011,"剧情,动作,犯罪,惊悚",韩国
567,我是传奇,8.1,2007,"剧情,动作,惊悚,冒险",美国
568,华尔街之狼,8.1,2013,"剧情,传记,犯罪",美国
569,杰伊·比姆,8.7,2021,"剧情,犯罪",印度
570,菊豆,8.2,1990,剧情,"中国大陆, 日本"
571,养家之人,8.3,2019,"剧情,动画,家庭","爱尔兰, 加拿大, 卢森堡, 美国, 英国, 法国"
572,斯图尔特：倒带人生,8.7,2007,剧情,英国
573,关于我母亲的一切,8.6,1999,剧情,"西班牙, 法国"
574,杰出公民,8.4,2016,"剧情,喜剧","阿根廷, 西班牙"
575,燃烧,8.1,2018,"剧情,犯罪,悬疑",韩国
576,迷墙,8.8,1982,"剧情,动画,奇幻",英国
577,黑客帝国动画版,8.8,2003,"动作,剧情,动画,科幻","美国, 日本"
578,大象席地而坐,8.1,2018,剧情,中国大陆
579,艺术家,8.4,2012,"剧情,喜剧,爱情","法国, 比利时, 美国"
580,波斯语课,8.1,2021,剧情,"俄罗斯, 德国, 白俄罗斯"
581,梦,8.7,1990,"剧情,奇幻","日本, 美国"
582,空中监狱,8.2,1997,"剧情,动作,犯罪,惊悚",美国
583,心房客,8.5,2015,"剧情,喜剧",法国
584,永恒和一日,9.1,1998,剧情,"法国, 意大利, 希腊, 德国"
585,秋菊打官司,8.2,1992,剧情,"中国大陆, 中国香港"
586,无名之辈,8.0,2018,"剧情,喜剧",中国大陆
587,罪恶之家,8.3,2015,"剧情,悬疑",英国
588,无双,8.0,2018,"剧情,动作,犯罪,悬疑","中国大陆, 中国香港"
589,机动部队,8.2,2003,"犯罪,剧情",中国香港
590,大路,8.9,1954,剧情,意大利
591,湄公河行动,8.0,2016,"剧情,动作,犯罪","中国大陆, 中国香港"
592,她比烟花寂寞,8.3,1998,"传记,剧情,音乐",英国
593,精武门,8.5,1972,"动作,剧情,爱情,惊悚",中国香港
594,现在去见你,8.3,2018,"剧情,爱情,奇幻",韩国
595,大河恋,8.5,1992,"剧情,家庭",美国
596,逆光飞翔,8.2,2013,"剧情,爱情",中国台湾
597,小妇人,8.5,1994,"剧情,爱情,家庭","美国, 加拿大"
598,永不妥协,8.4,2000,"剧情,传记",美国
599,华盛顿邮报,8.3,2017,"剧情,传记,历史","美国, 英国"
600,玫瑰人生,8.4,2007,"剧情,传记,爱情,音乐","法国, 英国, 捷克"
601,大明劫,8.2,2013,"剧情,历史,古装",中国大陆
602,骗中骗,8.7,1973,"剧情,喜剧,犯罪",美国
603,哆啦A梦：伴我同行,8.1,2015,"剧情,动画",日本
604,焦土之城,8.6,2010,"剧情,战争,悬疑","加拿大, 法国"
605,黄飞鸿之三：狮王争霸,8.1,1992,"剧情,动作,武侠,古装","中国香港, 中国大陆"
606,不可饶恕,8.5,1992,"剧情,西部",美国
607,荒野猎人,8.0,2016,"剧情,动作,冒险","美国, 中国香港, 中国台湾"
608,南山的部长们,8.2,2020,"剧情,历史,惊悚",韩国
609,大地惊雷,8.3,2010,"剧情,西部,冒险",美国
610,天才瑞普利,8.2,1999,"剧情,犯罪,惊悚",美国
611,喜丧,8.8,2015,"剧情,家庭","中国大陆, 中国香港, 法国"
612,桃色公寓,8.8,1960,"爱情,喜剧,剧情",美国
613,德州巴黎,8.6,1984,剧情,"西德, 法国, 英国, 美国"
614,归来,8.0,2014,"剧情,历史,爱情",中国大陆
615,地久天长,8.0,2019,"剧情,家庭",中国大陆
616,了不起的盖茨比,8.0,2013,"剧情,爱情","澳大利亚, 美国"
617,西部往事,8.7,1968,"剧情,犯罪,西部","意大利, 美国"
618,黑暗中的舞者,8.2,2000,"剧情,歌舞","丹麦, 德国, 荷兰, 意大利, 美国, 英国, 法国, 瑞典, 芬兰, 冰岛, 阿根廷, 挪威, 中国台湾, 比利时"
619,火柴人,8.2,2003,"剧情,喜剧,犯罪","美国, 英国"
620,孔雀,8.1,2005,"剧情,家庭",中国大陆
621,龙纹身的女孩,8.1,2011,"剧情,犯罪,悬疑,惊悚","美国, 瑞典, 挪威"
622,蒂凡尼的早餐,8.1,1961,"喜剧,剧情,爱情",美国
623,新不了情,8.3,1993,"剧情,爱情",中国香港
624,诗,8.7,2010,剧情,韩国
625,教宗的承继,8.6,2019,"剧情,传记","英国, 意大利"
626,春风沉醉的夜晚,8.1,2009,"剧情,同性","中国大陆, 法国"
627,门徒,8.0,2007,"犯罪,剧情,惊悚",中国香港
628,罗马,8.2,2019,"剧情,家庭","墨西哥, 美国"
629,克莱默夫妇,8.5,1979,"剧情,家庭",美国
630,黑暗面,8.1,2011,"剧情,悬疑,惊悚","哥伦比亚, 西班牙"
631,点球成金,8.3,2011,"剧情,传记,运动",美国
632,暗杀,8.1,2015,"剧情,动作,历史,犯罪",韩国
633,风柜来的人,8.4,1990,剧情,中国台湾
634,濑户内海,8.3,2016,"剧情,喜剧",日本
635,母亲,8.3,2009,"剧情,犯罪,悬疑,惊悚",韩国
636,秋日奏鸣曲,9.1,1978,"剧情,家庭","瑞典, 西德, 英国"
637,猛龙过江,8.4,1972,"动作,喜剧,犯罪,剧情,惊悚",中国香港
638,小妇人,8.0,2020,"剧情,爱情",美国
639,冷山,8.2,2004,"剧情,爱情,战争","英国, 意大利, 罗马尼亚, 美国"
640,和声,8.5,2010,剧情,韩国
641,和莎莫的500天,8.0,2009,"剧情,喜剧,爱情",美国
642,戏梦巴黎,8.1,2003,"剧情,爱情,情色","法国, 英国, 意大利"
643,8英里,8.3,2002,"剧情,音乐","美国, 德国"
644,八部半,8.6,1963,剧情,"意大利, 法国"
645,杀死一只知更鸟,8.6,1962,"犯罪,剧情,悬疑",美国
646,季春奶奶,8.5,2016,"剧情,家庭",韩国
647,兹山鱼谱,8.8,2021,"剧情,历史,古装",韩国
648,海上花,8.2,1998,剧情,"中国台湾, 日本"
649,阿拉伯的劳伦斯,8.7,1962,"剧情,传记,冒险",英国
650,年轻气盛,8.2,2015,"剧情,喜剧","意大利, 法国, 瑞士, 英国"
651,黑皮书,8.4,2009,"剧情,惊悚,战争","荷兰, 德国, 英国, 比利时"
652,两生花,8.4,1991,"剧情,爱情,奇幻","法国, 波兰, 挪威"
653,蒙太奇,8.2,2013,"剧情,犯罪,惊悚",韩国
654,推拿,8.0,2014,剧情,"中国大陆, 法国"
655,不成问题的问题,8.1,2017,剧情,"中国大陆, 法国"
656,万能钥匙,8.0,2005,"剧情,悬疑,恐怖","美国, 德国"
657,狂怒,8.0,2014,"剧情,动作,战争","美国, 中国大陆, 英国"
658,妈妈再爱我一次,8.3,1988,"剧情,家庭",中国台湾
659,哀乐中年,9.3,1949,"剧情,爱情,家庭",中国大陆
660,危楼愚夫,8.4,2014,剧情,俄罗斯
661,勇往直前,8.3,2017,"剧情,传记,灾难",美国
662,七磅,8.2,2008,剧情,美国
663,无姓之人,8.2,2009,"剧情,爱情,科幻,奇幻","加拿大, 比利时, 法国, 德国"
664,荆轲刺秦王,8.2,1998,"剧情,历史,古装","中国大陆, 日本, 法国"
665,血色将至,8.4,2007,剧情,美国
666,赛末点,8.1,2005,"剧情,爱情,犯罪,悬疑","英国, 美国, 爱尔兰, 卢森堡"
667,初恋这首情歌,8.2,2020,"剧情,爱情,音乐","爱尔兰, 英国, 美国"
668,遇见你之前,8.0,2016,"剧情,爱情","英国, 美国"
669,十二怒汉（电视版）,9.5,1954,"剧情,犯罪,悬疑",美国
670,绝杀慕尼黑,8.1,2019,"剧情,运动",俄罗斯
671,镜子,9.0,1975,"传记,剧情,历史,战争",苏联
672,冬冬的假期,8.7,1984,"剧情,儿童",中国台湾
673,第一滴血,8.3,1982,"剧情,动作,冒险",美国
674,蝴蝶梦,8.3,1940,"剧情,爱情,悬疑",美国
675,危情十日,8.4,1990,"剧情,犯罪,惊悚",美国
676,卡特教练,8.6,2005,"剧情,运动","美国, 德国"
677,无依之地,8.1,2020,剧情,美国
678,狗咬狗,8.1,2006,"动作,犯罪,剧情,惊悚",中国香港
679,理查德·朱维尔的哀歌,8.2,2020,"剧情,传记,犯罪",美国
680,国家公敌,8.2,1998,"动作,剧情,惊悚",美国
681,贝利叶一家,8.4,2014,"剧情,喜剧,音乐,家庭","法国, 比利时"
682,志明与春娇,7.9,2010,"喜剧,剧情,爱情",中国香港
683,蝴蝶君,8.4,1993,"剧情,爱情,同性","美国, 加拿大"
684,通天塔,8.1,2007,剧情,"法国, 美国, 墨西哥"
685,海洋天堂,8.0,2010,剧情,"中国大陆, 中国香港"
686,珍珠港,8.0,2001,"剧情,历史,爱情,战争",美国
687,我脑中的橡皮擦,8.0,2004,"爱情,剧情",韩国
688,菲利普船长,8.2,2013,"剧情,传记,惊悚",美国
689,太极旗飘扬,8.3,2004,"动作,剧情,战争",韩国
690,风雨哈佛路,8.1,2003,"剧情,传记",美国
691,鸟人,8.0,2014,"剧情,喜剧","美国, 加拿大"
692,伊万的童年,8.8,1962,"剧情,战争",苏联
693,熊出没之过年,8.6,2013,"剧情,儿童,喜剧,动画,冒险,家庭",中国大陆
694,未知死亡,8.2,2008,"动作,剧情,悬疑,爱情,惊悚",印度
695,本命年,8.3,1990,"剧情,爱情",中国大陆
696,巴里·林登,8.8,1975,"剧情,爱情,战争","英国, 美国"
697,追凶者也,7.9,2016,"剧情,喜剧,犯罪",中国大陆
698,梦旅人,8.3,1996,"剧情,奇幻",日本
699,马路天使,8.6,1937,"剧情,喜剧",中国大陆
700,窈窕淑女,8.2,1964,"剧情,爱情,歌舞",美国
701,杀手没有假期,8.1,2008,"剧情,喜剧,犯罪","英国, 美国"
702,间谍之桥,8.2,2015,"剧情,传记,历史","美国, 德国, 印度"
703,侠女,8.6,1970,"剧情,动作,武侠,古装","中国台湾, 中国香港"
704,一天,7.9,2011,"剧情,爱情","美国, 英国"
705,大逃杀,8.0,2000,"剧情,惊悚",日本
706,我在雨中等你,8.4,2019,"剧情,喜剧,爱情,运动",美国
707,飞行家,8.1,2004,"剧情,传记","美国, 德国"
708,秋刀鱼之味,8.7,1962,"剧情,家庭",日本
709,天鹅绒金矿,8.4,1998,"剧情,同性,音乐","英国, 美国"
710,两小无猜,7.9,2003,"喜剧,剧情,爱情","法国, 比利时"
711,金色梦乡,8.3,2010,"剧情,悬疑",日本
712,偶滴神啊,8.4,2012,"剧情,喜剧",印度
713,127小时,8.1,2010,"剧情,传记,冒险","美国, 英国"
714,听见天堂,8.9,2006,剧情,意大利
715,对不起，我们错过了你,8.5,2019,"剧情,家庭","英国, 法国, 比利时"
716,喊·山,8.1,2016,"剧情,爱情,犯罪",中国大陆
717,光荣之路,8.6,2006,"剧情,传记,运动",美国
718,疤面煞星,8.3,1983,"犯罪,剧情,惊悚",美国
719,永远的三丁目的夕阳,8.8,2005,"剧情,家庭",日本
720,因父之名,8.8,1993,"传记,剧情","爱尔兰, 英国, 美国"
721,壁花少年,8.0,2012,"剧情,爱情",美国
722,海滩的一天,8.5,1983,"剧情,爱情",中国台湾
723,人生密密缝,8.5,2017,"剧情,同性,家庭",日本
724,附注：我爱你,8.1,2007,"剧情,爱情",美国
725,醉乡民谣,8.1,2013,"剧情,音乐","美国, 英国, 法国"
726,夏目友人帐,8.0,2019,"剧情,动画,奇幻",日本
727,最后的决斗,8.3,2021,"剧情,历史","美国, 英国"
728,摩托日记,8.5,2004,"冒险,传记,剧情","阿根廷, 美国, 智利, 秘鲁, 巴西, 英国, 德国, 法国"
729,内布拉斯加,8.6,2013,"剧情,喜剧,家庭",美国
730,情枭的黎明,8.7,1993,"犯罪,剧情,惊悚",美国
731,精疲力尽,8.4,1960,"剧情,爱情,犯罪",法国
732,赌侠,7.9,1990,"剧情,喜剧",中国香港
733,十二怒汉,9.2,1997,"剧情,犯罪",美国
734,激战,7.9,2013,"剧情,动作,运动","中国香港, 中国大陆"
735,毕业生,8.0,1967,"剧情,喜剧,爱情",美国
736,十月的天空,8.7,1999,"传记,剧情,家庭",美国
737,喋血街头,8.2,1990,"剧情,动作,犯罪,惊悚",中国香港
738,回家的路,8.5,2013,"剧情,犯罪,家庭",韩国
739,谜一样的双眼,8.2,2009,"剧情,爱情,犯罪,悬疑","阿根廷, 西班牙"
740,伯德小姐,7.9,2017,"剧情,家庭",美国
741,我和厄尔以及将死的女孩,8.2,2015,"剧情,喜剧",美国
742,金鸡,8.1,2002,"剧情,喜剧",中国香港
743,空房间,8.0,2004,"剧情,爱情,犯罪",韩国
744,第七封印,8.5,1957,"剧情,奇幻",瑞典
745,交响情人梦 最终乐章 后篇,8.8,2010,剧情,日本
746,路边野餐,7.9,2016,剧情,中国大陆
747,给桃子的信,8.3,2011,"剧情,动画",日本
748,狐妖小红娘剧场版：王权富贵,9.3,2016,"剧情,喜剧,爱情,动画",中国大陆
749,局内人,8.1,2015,"剧情,动作,犯罪,惊悚",韩国
750,男人四十,8.1,2002,剧情,中国香港
751,囚徒,8.1,2013,"剧情,犯罪,悬疑",美国
752,我的名字叫可汗,8.4,2010,"剧情,爱情",印度
753,祝你好运，里奥·格兰德,8.2,2022,"剧情,喜剧",英国
754,唐人街,8.4,1974,"犯罪,剧情,悬疑,惊悚",美国
755,水牛城66,8.5,1998,"喜剧,犯罪,剧情,爱情","美国, 加拿大"
756,佛罗里达乐园,8.1,2017,"剧情,儿童",美国
757,朱莉与朱莉娅,8.1,2009,"剧情,传记",美国
758,青之炎,8.7,2003,"剧情,犯罪,爱情",日本
759,刺杀肯尼迪,8.8,1991,"传记,剧情,历史,悬疑,惊悚","美国, 法国"
760,春天的故事,8.4,1990,"喜剧,剧情,爱情",法国
761,孤味,8.0,2020,"剧情,家庭",中国台湾
762,蓝色茉莉,8.0,2013,"剧情,家庭",美国
763,唐山大地震,7.8,2010,"剧情,历史,灾难","中国大陆, 中国香港"
764,头文字D,7.8,2005,"剧情,动作","中国香港, 日本"
765,大开眼戒,8.0,1999,"剧情,悬疑,惊悚,情色","英国, 美国"
766,叶问,7.8,2008,"动作,传记,剧情,历史","中国香港, 中国大陆"
767,心之全蚀,8.2,1995,"剧情,传记,爱情,同性","英国, 法国, 比利时"
768,听到涛声,8.2,1993,"剧情,爱情,动画",日本
769,朱诺,7.9,2007,"剧情,喜剧,爱情","美国, 加拿大"
770,花木兰,7.9,1998,"动画,冒险,剧情,家庭",美国
771,全民目击,7.8,2013,"剧情,犯罪,悬疑",中国大陆
772,海鸥食堂,8.3,2006,"喜剧,剧情",日本
773,西雅图未眠夜,7.9,1993,"喜剧,爱情,剧情",美国
774,潘神的迷宫,7.9,2006,"剧情,战争,奇幻","西班牙, 墨西哥, 美国"
775,新警察故事,7.8,2004,"动作,犯罪,剧情,惊悚","中国大陆, 中国香港"
776,将军号,9.1,1926,"剧情,喜剧,动作,战争,冒险",美国
777,柏林苍穹下,8.6,1987,"奇幻,剧情,爱情","西德, 法国"
778,熊的故事,9.1,1988,剧情,"法国, 美国"
779,阳光姐妹淘,8.3,2018,"剧情,喜剧,歌舞",日本
780,弗兰西丝·哈,8.4,2012,"剧情,喜剧",美国
781,惊天魔盗团,7.8,2013,"剧情,犯罪,悬疑","美国, 法国"
782,给爸爸的信,8.0,1995,"剧情,动作,犯罪","中国香港, 中国大陆"
783,气球,8.4,2018,"剧情,历史,惊悚",德国
784,香港制造,8.2,1997,"剧情,爱情,犯罪",中国香港
785,在云端,7.9,2009,"剧情,喜剧,爱情",美国
786,偶然与想象,8.3,2021,"剧情,爱情",日本
787,妇女参政论者,8.7,2015,"剧情,传记,历史",英国
788,上帝之国,8.4,2017,"剧情,爱情,同性",英国
789,起跑线,7.9,2018,"剧情,喜剧",印度
790,金氏漂流记,8.3,2009,"剧情,爱情",韩国
791,星月童话,8.2,1999,"剧情,爱情,惊悚","中国香港, 日本"
792,摩加迪沙,8.1,2021,"剧情,动作",韩国
793,我自己的爱达荷,8.3,1991,"剧情,爱情,同性",美国
794,降临,7.8,2017,"剧情,科幻","美国, 加拿大"
795,流浪猫鲍勃,7.9,2018,"剧情,喜剧,传记",英国
796,隧道,7.9,2016,剧情,韩国
797,平常的心,8.4,2014,"剧情,历史,同性",美国
798,十分钟年华老去：小号篇,8.5,2002,剧情,"西班牙, 英国, 德国, 芬兰, 中国大陆, 美国"
799,他其实没那么喜欢你,7.8,2009,"喜剧,剧情,爱情","美国, 德国, 荷兰"
